beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Juice Boost","Victory Brewing Company","Sour - Other",7.2,45,,,,,,,,3.75,"2019-02-28 22:09:19",https://untappd.com/c/717943873,https://untappd.com/beer/2982645,https://untappd.com/brewery/1326,"United States",Downingtown,PA,"fruity,juicy","Total Wine & More - Wilmington, DE",Can,717943873,2982645,1326,https://untappd.s3.amazonaws.com/photos/2019_03_01/b4fd01894c9070b4ad167ccf3b297545_raw.jpg,3.61,3.61,,0,0
"Honey Brown Lager","Dundee Brewing Co","Lager - American Amber / Red",4.5,10,,,,,,,,2.75,"2019-02-28 22:47:16",https://untappd.com/c/717956002,https://untappd.com/beer/6117,https://untappd.com/brewery/53448,"United States",Rochester,NY,light,,Bottle,717956002,6117,53448,https://untappd.s3.amazonaws.com/photos/2019_03_01/33b397f8112f38adedacbe297249ffc7_raw.jpg,3.3,3.3,,0,0
Shoobie,"Crooked Hammock Brewery","Blonde Ale",5.1,17,,,,,,,,3.5,"2019-03-02 00:41:19",https://untappd.com/c/718516981,https://untappd.com/beer/1281515,https://untappd.com/brewery/231581,"United States",Lewes,DE,"light,smooth","Total Wine & More - Wilmington, DE",Can,718516981,1281515,231581,https://untappd.s3.amazonaws.com/photos/2019_03_02/022707160b9b249a9c269a14fa67a9bb_raw.jpg,3.41,3.43,,0,0
"Lucky SOB Irish Red Ale","Flying Dog Brewery","Red Ale - Irish",5.5,28,,,,,,,,3.5,"2019-03-02 01:07:27",https://untappd.com/c/718521813,https://untappd.com/beer/29082,https://untappd.com/brewery/540,"United States",Frederick,MD,malty,"Total Wine & More - Wilmington, DE",Can,718521813,29082,540,https://untappd.s3.amazonaws.com/photos/2019_03_02/9bc6067910256400d9f33d6046cf51bc_raw.jpg,3.49,3.49,,0,0
"Voodoo Ranger Liquid Paradise IPA","New Belgium Brewing Company","IPA - American",7.8,44,,,,,,,,3.75,"2019-03-03 20:58:58",https://untappd.com/c/719638831,https://untappd.com/beer/2706453,https://untappd.com/brewery/905,"United States","Fort Collins",CO,"tropical,hoppy","Total Wine & More - Wilmington, DE",Can,719638831,2706453,905,https://untappd.s3.amazonaws.com/photos/2019_03_04/62351952a2cddce14b67a1dac39aee57_raw.jpg,3.71,3.71,,0,0
"Miles 2 Go Unfiltered Pale Lager","Two Roads Brewing Company","Kellerbier / Zwickelbier",6.2,0,,,,,,,,3.5,"2019-03-03 22:42:27",https://untappd.com/c/719666206,https://untappd.com/beer/2314837,https://untappd.com/brewery/45815,"United States",Stratford,CT,malty,"Total Wine & More - Wilmington, DE",Can,719666206,2314837,45815,https://untappd.s3.amazonaws.com/photos/2019_03_04/c2f3f4a519839973606b1e888e319a39_raw.jpg,3.49,3.5,,0,0
"Raspberry Sour","Avery Brewing Co.","Sour - Other",5.8,0,,,,,,,,4.75,"2019-03-05 19:33:48",https://untappd.com/c/720050936,https://untappd.com/beer/1069310,https://untappd.com/brewery/62,"United States",Boulder,CO,"sour,tart,raspberry","State Line Liquors",Draft,720050936,1069310,62,https://untappd.s3.amazonaws.com/photos/2019_03_06/b7029344576b4932b1a6ea61aab94e7d_raw.jpg,4,4,,1,0
Boondocks,"Reckless Ale Works (Maryland)","Stout - Irish Dry",5.5,40,,,,,,,,3.25,"2019-03-05 20:26:10",https://untappd.com/c/720073336,https://untappd.com/beer/3042417,https://untappd.com/brewery/239911,"United States",Columbia,MD,dark,"State Line Liquors",Can,720073336,3042417,239911,https://untappd.s3.amazonaws.com/photos/2019_03_06/f08249b3f72d7f93f11881c9f866fe5c_raw.jpg,3.67,3.68,,0,0
Bellcracker,"2SP Brewing Company","IPA - Imperial / Double",8.7,70,,,,,,,,3.75,"2019-03-16 22:53:18",https://untappd.com/c/724863857,https://untappd.com/beer/1166888,https://untappd.com/brewery/206264,"United States",Aston,PA,"smooth,hoppy","Total Wine & More - Wilmington, DE",Can,724863857,1166888,206264,https://untappd.s3.amazonaws.com/photos/2019_03_17/cef609d3aab17d1acbff77aa633e6516_raw.jpg,3.75,3.75,,0,0
"Raspberry Milk Stout","Left Hand Brewing Company","Stout - Milk / Sweet",5.7,23,,,,,,,,3.75,"2019-03-16 22:54:22",https://untappd.com/c/724864401,https://untappd.com/beer/3030014,https://untappd.com/brewery/779,"United States",Longmont,CO,"light,chocolate,raspberry","State Line Liquors",Can,724864401,3030014,779,https://untappd.s3.amazonaws.com/photos/2019_03_17/155ad504ddea1f4e65fc7a6f95bad53b_raw.jpg,3.65,3.65,,0,0
